"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 30 04:11:07 UTC 2023","Wed Aug 30 04:11:35 UTC 2023","28390","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Aug 30 03:27:02 UTC 2023","Wed Aug 30 03:27:06 UTC 2023","3708","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Aug 30 03:09:49 UTC 2023","Wed Aug 30 03:09:49 UTC 2023","501","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Aug 30 03:12:53 UTC 2023","Wed Aug 30 03:12:55 UTC 2023","1462","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Aug 30 03:23:18 UTC 2023","Wed Aug 30 03:24:05 UTC 2023","46277","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Aug 30 02:44:30 UTC 2023","Wed Aug 30 02:44:32 UTC 2023","2058","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Aug 30 03:09:26 UTC 2023","Wed Aug 30 03:09:46 UTC 2023","20265","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Aug 30 03:12:55 UTC 2023","Wed Aug 30 03:13:01 UTC 2023","6655","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Aug 30 03:26:55 UTC 2023","Wed Aug 30 03:26:59 UTC 2023","3365","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Aug 30 02:43:35 UTC 2023","Wed Aug 30 02:44:30 UTC 2023","55173","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed Aug 30 03:43:58 UTC 2023","Wed Aug 30 03:44:37 UTC 2023","39683","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Aug 30 03:27:42 UTC 2023","Wed Aug 30 03:27:45 UTC 2023","2377","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"failed","Wed Aug 30 03:40:51 UTC 2023","Wed Aug 30 03:43:40 UTC 2023","168648","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Aug 30 02:45:39 UTC 2023","Wed Aug 30 02:45:42 UTC 2023","3152","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Aug 30 04:05:34 UTC 2023","Wed Aug 30 04:05:34 UTC 2023","422","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Aug 30 04:05:34 UTC 2023","Wed Aug 30 04:05:42 UTC 2023","8132","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Aug 30 04:23:23 UTC 2023","Wed Aug 30 04:23:39 UTC 2023","16375","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
